fdc_id,description,protein_per_100g
1750340,"Apples, fuji, with skin, raw",0.148
1750341,"Apples, gala, with skin, raw",0.133
1750342,"Apples, granny smith, with skin, raw",0.266
1750343,"Apples, honeycrisp, with skin, raw",0.102
1999626,"Mushroom, lion's mane",2.5
1999627,"Mushroom, oyster",2.9
1999628,"Mushrooms, shiitake",2.41
1999629,"Mushrooms, white button",2.89
1999630,"Soy milk, unsweetened, plain, shelf stable",3.55
1999631,"Almond milk, unsweetened, plain, shelf stable",0.555
1999632,"Spinach, baby",2.85
1999633,"Spinach, mature",2.91
1999634,"Tomato, roma",0.696
2003586,"Flour, 00",11.4
2003587,"Flour, spelt, whole grain",14.5
2003588,"Flour, semolina, coarse and semi-coarse",11.7
2003589,"Flour, semolina, fine",13.3
2003590,"Apple juice, with added vitamin C, from concentrate, shelf stable",0.086
2003591,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",0.734
2003592,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",0.258
2003593,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",0.094
2003594,"Cranberry juice, not fortified, from concentrate, shelf stable",0.0
2003595,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",0.57
2003596,"Tomato juice, with added ingredients, from concentrate, shelf stable",0.859
2003597,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",0.812
2003598,"Mushroom, portabella",2.75
2003599,"Mushroom, king oyster",2.41
2003600,"Mushroom, enoki",2.42
2003601,"Mushroom, crimini",3.09
2003602,"Mushroom, maitake",2.2
2003603,"Mushroom, beech",2.18
2003604,"Mushroom, pioppini",3.5
2257044,"Soy milk, sweetened, plain, refrigerated",2.78
2257045,"Almond milk, unsweetened, plain, refrigerated",0.656
2257046,"Oat milk, unsweetened, plain, refrigerated",0.797
2258586,"Carrots, mature, raw",0.941
2258587,"Carrots, baby, raw",0.805
2258588,"Peppers, bell, green, raw",0.715
2258589,"Peppers, bell, yellow, raw",0.819
2258590,"Peppers, bell, red, raw",0.896
2258591,"Peppers, bell, orange, raw",0.882
2259792,"Buttermilk, low fat",3.46
2259793,"Yogurt, plain, whole milk",3.82
2259794,"Yogurt, Greek, plain, whole milk",8.78
2259795,"Cheese, parmesan, grated, refrigerated",30.1
2259796,"Cheese, feta, whole milk, crumbled",19.7
2261420,"Flour, almond",26.2
2261421,"Flour, oat, whole grain",13.2
2261422,"Flour, potato",8.11
2262072,"Peanut butter, creamy",24.0
2262073,"Sesame butter, creamy",19.7
